date,average_tas_c
2013-09-01,-18.551170977424164
2013-10-01,-15.011042157341421
2013-11-01,-5.964502671185642
2013-12-01,-12.751427863625906
2014-01-01,-1.708284983915405
2014-02-01,-0.32625014361212834
2014-03-01,0.081333654067123
2014-04-01,0.4596554026884405
2014-05-01,0.9350000718060869
2014-06-01,-3.5559222053078656
2014-07-01,-4.612571447035805
2014-08-01,-14.257546638039969
2014-09-01,-13.750911937040428
2014-10-01,-17.855301082835467
2014-11-01,-18.624498793658063
2014-12-01,-8.711908318014707
2015-01-01,-4.154682114545039
2015-02-01,-0.5526151769301464
2015-03-01,0.6121291216682039
2015-04-01,1.0814122817095608
2015-05-01,-1.3339294433593523
2015-06-01,-6.502727194393344
2015-07-01,-12.40516339470355
2015-08-01,-19.603039730296388
2015-09-01,-17.61742858886717
2015-10-01,-21.56374224494482
2015-11-01,-16.601235423368564
2015-12-01,-11.114283303653451
2016-01-01,-6.295827708524769
2016-02-01,-0.5799445657169144
2016-03-01,0.3437219956342119
2016-04-01,0.24783289292281552
2016-05-01,-3.5277670467600615
2016-06-01,-9.051533777573525
2016-07-01,-8.875673181870354
2016-08-01,-20.456060791015602
2016-09-01,-26.014961691463668
2016-10-01,-20.695144294289946
2016-11-01,-25.972383207433353
2016-12-01,-13.90567196116723
2017-01-01,-5.911784093520225
2017-02-01,-0.6886050953584117
2017-03-01,0.1550634047564472
2017-04-01,0.20191363166361498
2017-05-01,-1.211301915785839
2017-06-01,-4.40593692555143
2017-07-01,-15.419659603343291
2017-08-01,-14.45416349523208
2017-09-01,-13.301353544347421
2017-10-01,-24.60548993278951
2017-11-01,-17.215967155905304
2017-12-01,-12.718510167738941
2018-01-01,-4.812934067670028
2018-02-01,-0.6435747931985247
2018-03-01,-0.06371962603395787
2018-04-01,-0.2928692985983048
2018-05-01,-3.3396319221047293
2018-06-01,-9.548172894646143
2018-07-01,-8.50993006089152
2018-08-01,-15.26348051183362
2018-09-01,-24.35027034983912
2018-10-01,-16.249250883214586
2018-11-01,-20.813490923713204
2018-12-01,-11.082267850988046
2019-01-01,-4.09315041934741
2019-02-01,-0.577160285500895
2019-03-01,0.1295794318704111
2019-04-01,0.5035780962775789
2019-05-01,-0.8601688160615595
2019-06-01,-3.8722929113051237
2019-07-01,-15.466209321863516
2019-08-01,-17.549823895622666
2019-09-01,-23.056122544232522
2019-10-01,-25.990916891658998
2019-11-01,-16.495056690889214
2019-12-01,-12.787181899126836
2020-01-01,-5.0402936150046
2020-02-01,-0.6449527516084572
2020-03-01,-0.36524514590990975
2020-04-01,0.2705853630515094
2020-05-01,-0.7078196806065762
2020-06-01,-4.552654311236211
2020-07-01,-8.121923828124977
2020-08-01,-18.85905456542966
2020-09-01,-17.125021721334974
2020-10-01,-23.094634112189766
2020-11-01,-22.223896520278004
2020-12-01,-15.785150685029862
2021-01-01,-5.895741900275709
2021-02-01,-0.5293169806985247
2021-03-01,0.09181051815261299
2021-04-01,0.5140000287224211
2021-05-01,-0.5472501866957487
2021-06-01,-5.091044347426475
2021-07-01,-9.101866239659898
2021-08-01,-21.848436422908975
2021-09-01,-13.82583546357995
2021-10-01,-12.606430951286768
2021-11-01,-19.898780553481146
2021-12-01,-13.79368286132808
2022-01-01,-4.150376981847387
2022-02-01,-1.2174912396599211
2022-03-01,0.07555936925552942
2022-04-01,0.19005162856160496
2022-05-01,-2.1211145737591437
2022-06-01,-4.999397547104763
2022-07-01,-7.295153808593739
